timestamp,open,high,low,close,adjusted close,volume,dividend amount
2024-11-21,586.2200,595.1200,584.0300,593.6700,593.6700,183278988,0.0000
2024-11-15,599.8100,600.1700,583.8600,585.7500,585.7500,242874416,0.0000
2024-11-08,571.1800,599.6400,567.8900,598.1900,598.1900,239555370,0.0000
2024-11-01,582.5800,583.3200,568.4400,571.0400,571.0400,220360188,0.0000
2024-10-25,583.8500,584.8500,574.4150,579.0400,579.0400,202185455,0.0000
2024-10-18,581.2200,586.1200,578.5450,584.5900,584.5900,192956802,0.0000
2024-10-11,571.3000,580.3300,566.6300,579.5800,579.5800,211681681,0.0000
2024-10-04,570.4200,574.3800,565.2700,572.9800,572.9800,258273676,0.0000
2024-09-27,569.3400,574.7100,567.6000,571.4700,571.4700,219788113,0.0000
2024-09-20,561.7400,572.8800,559.9000,568.2500,568.2500,297840609,1.7455
2024-09-13,544.6500,563.0300,539.9600,562.0100,560.2889,243292245,0.0000
2024-09-06,560.4700,560.8100,539.4400,540.3600,538.7052,219590659,0.0000
2024-08-30,563.1800,564.2000,555.0400,563.6800,561.9538,210963817,0.0000
2024-08-23,554.7300,563.1800,553.8600,562.1300,560.4086,221129506,0.0000
2024-08-16,534.2100,555.0200,530.9500,554.3100,552.6125,242599611,0.0000
2024-08-09,511.6400,534.5100,510.2700,532.9900,531.3578,410688190,0.0000
2024-08-02,546.0200,554.8688,528.6000,532.9000,531.2681,311250646,0.0000
2024-07-26,553.0000,556.7350,537.4500,544.4400,542.7727,267223623,0.0000
2024-07-19,562.0300,565.1600,547.9100,548.9900,547.3088,255957982,0.0000
2024-07-12,555.4400,563.6700,554.1900,559.9900,558.2751,208264385,0.0000
2024-07-05,545.6300,555.0500,542.5200,554.6400,552.9415,155010902,0.0000
2024-06-28,544.3300,550.2800,542.4400,544.2200,542.5534,233538652,0.0000
2024-06-21,542.0800,550.1200,541.6072,544.5100,542.8425,232057959,1.7590
2024-06-14,533.1800,544.1200,532.0500,542.7800,539.3754,220214812,0.0000
2024-06-07,529.0200,536.8900,522.6000,534.0100,530.6604,203111783,0.0000
2024-05-31,530.2700,530.5100,518.3600,527.3700,524.0620,218714190,0.0000
2024-05-24,529.5700,533.0700,524.7200,529.4400,526.1191,218093448,0.0000
2024-05-17,522.5600,531.5218,519.7400,529.4500,526.1290,263189537,0.0000
2024-05-10,513.7500,522.6350,513.3000,520.8400,517.5730,237750055,0.0000
2024-05-03,510.0900,512.5500,499.5500,511.2900,508.0829,339448742,0.0000
2024-04-26,497.8300,509.8800,495.4300,508.2600,505.0719,321951230,0.0000
2024-04-19,515.1300,515.3000,493.8600,495.1600,492.0541,418256444,0.0000
2024-04-12,519.1500,520.7500,509.0800,510.8500,507.6457,360446531,0.0000
2024-04-05,523.8300,524.3800,512.7550,518.4300,515.1781,361873253,0.0000
2024-03-28,519.8000,524.6100,518.4000,523.0700,519.7890,293270515,0.0000
2024-03-22,514.0000,524.1100,511.1200,521.2100,517.9407,358570122,0.0000
2024-03-15,510.4800,517.3800,508.1220,509.8300,506.6321,398284000,1.5949
2024-03-08,512.0300,518.2201,504.9100,511.7200,506.9244,336221867,0.0000
2024-03-01,508.3000,513.2900,504.7500,512.8500,508.0438,316517539,0.0000
2024-02-23,497.7200,510.1300,493.5600,507.8500,503.0906,269064864,0.0000
2024-02-16,501.1700,503.5000,490.7150,499.5100,494.8288,375205197,0.0000
2024-02-09,493.6950,501.6500,490.2300,501.2000,496.5029,318555221,0.0000
2024-02-02,487.7300,496.0500,482.8600,494.3500,489.7171,437072028,0.0000
2024-01-26,484.0100,489.1200,482.7800,487.4100,482.8422,355178832,0.0000
2024-01-19,475.2600,482.7200,469.8700,482.4300,477.9088,356549472,0.0000
2024-01-12,468.4300,478.6000,468.3000,476.6800,472.2127,344088296,0.0000
2024-01-05,472.1600,473.6700,466.4300,467.9200,463.5348,396379586,0.0000
2023-12-29,474.0700,477.5500,473.3000,475.3100,470.8556,318702613,0.0000
2023-12-22,470.9800,475.8950,467.8200,473.6500,469.2111,379149050,0.0000
2023-12-15,459.6900,473.7300,459.4700,469.3300,464.9316,487187546,1.9061
2023-12-08,455.6000,460.7450,454.3100,460.2000,454.0432,360115323,0.0000
2023-12-01,454.6500,459.6500,453.3400,459.1000,452.9579,344703088,0.0000
2023-11-24,450.5300,456.3800,450.5200,455.3000,449.2087,208484220,0.0000
2023-11-17,439.2300,451.4200,438.4200,450.7900,444.7591,376600275,0.0000
2023-11-10,435.4700,440.9300,433.4000,440.6100,434.7153,366566272,0.0000
2023-11-03,413.5600,436.2900,412.2200,434.6900,428.8745,459402624,0.0000
2023-10-27,419.6100,424.8200,409.2100,410.6800,405.1857,487346964,0.0000
2023-10-20,433.8200,438.1400,421.0800,421.1900,415.5551,489560531,0.0000
2023-10-13,427.5800,437.3350,427.0101,431.5000,425.7272,397788728,0.0000
2023-10-06,426.6200,431.1250,420.1800,429.5400,423.7934,458428227,0.0000
2023-09-29,429.1700,432.2700,422.2900,427.4800,421.7609,479118444,0.0000
2023-09-22,443.0500,444.9700,429.9900,430.4200,424.6616,409754973,0.0000
2023-09-15,448.2400,451.0800,442.9200,443.3700,437.4384,383224485,1.5832
2023-09-08,450.7300,451.0600,442.7500,445.5200,437.9956,258348585,0.0000
2023-09-01,442.2400,453.6700,439.9728,451.1900,443.5698,338759881,0.0000
2023-08-25,437.5500,445.2200,435.0000,439.9700,432.5393,393065214,0.0000
2023-08-18,444.7000,448.1100,433.0100,436.5000,429.1279,398245456,0.0000
2023-08-11,448.7100,451.7000,443.3450,445.6500,438.1234,370204760,0.0000
2023-08-04,457.4100,458.1600,446.2700,446.8100,439.2638,376024611,0.0000
2023-07-28,453.3700,459.4400,451.5500,456.9200,449.2031,352473672,0.0000
2023-07-21,449.1300,456.4300,449.0800,452.1800,444.5431,341183617,0.0000
2023-07-14,438.1800,451.3600,437.5850,449.2800,441.6921,361072844,0.0000
2023-07-07,442.9200,444.0800,437.0600,438.5500,431.1433,258004290,0.0000
2023-06-30,432.6200,444.3000,431.1900,443.2800,435.7934,394119558,0.0000
2023-06-23,437.4500,438.3700,432.4700,433.2100,425.8935,315854322,0.0000
2023-06-16,430.9200,443.9000,430.1700,439.4600,432.0380,497237427,1.6384
2023-06-09,428.2800,431.9900,425.8200,429.9000,421.0696,362455718,0.0000
2023-06-02,422.0300,428.7400,416.2200,427.9200,419.1303,358857521,0.0000
2023-05-26,418.6400,420.7700,409.8795,420.0200,411.3926,421134151,0.0000
2023-05-19,412.2200,420.7200,410.2300,418.6200,410.0213,400252347,0.0000
2023-05-12,412.9700,414.5350,408.8700,411.5900,403.1357,336048421,0.0000
2023-05-05,415.4700,417.6200,403.7400,412.6300,404.1543,440446161,0.0000
2023-04-28,411.9900,415.9400,403.7800,415.9300,407.3866,422820175,0.0000
2023-04-21,412.3700,415.7200,410.1700,412.2000,403.7332,333581642,0.0000
2023-04-14,406.6100,415.0900,405.9700,412.4600,403.9878,373375620,0.0000
2023-04-06,408.8500,411.9200,405.6780,409.1900,400.7850,262936219,0.0000
2023-03-31,398.1200,409.7000,393.6900,409.3900,400.9809,396282637,0.0000
2023-03-24,390.8000,402.4900,389.4000,395.7500,387.6211,523448057,0.0000
2023-03-17,381.8100,396.4700,380.6500,389.9900,381.9794,764846608,1.5062
2023-03-10,405.0500,407.4500,384.3200,385.9100,376.5290,557051492,0.0000
2023-03-03,399.8700,404.4500,392.3300,404.1900,394.3646,452114804,0.0000
2023-02-24,403.0600,404.1600,393.6400,396.3800,386.7445,370835029,0.0000
2023-02-17,408.7200,415.0500,404.0500,407.2600,397.3600,380677415,0.0000
2023-02-10,409.7900,416.4900,405.0100,408.0400,398.1210,376978106,0.0000
2023-02-03,402.8000,418.3100,400.2800,412.3500,402.3262,458864203,0.0000
2023-01-27,396.7200,408.1600,393.5600,405.6800,395.8184,369137564,0.0000
2023-01-20,398.4800,400.2300,387.2600,395.8800,386.2566,341074818,0.0000
2023-01-13,390.3700,399.1000,386.2700,398.5000,388.8129,362278876,0.0000
2023-01-06,384.3700,389.2500,377.8310,388.0800,378.6462,341944888,0.0000
2022-12-30,382.7900,384.3500,376.4200,382.4300,373.1336,273542782,0.0000
2022-12-23,383.4700,387.4100,374.7700,382.9100,373.6019,392450896,0.0000
2022-12-16,394.1100,410.4900,381.0400,383.2700,373.9532,544863559,1.7814
2022-12-09,403.9500,404.9300,391.6400,393.2800,381.9446,363375573,0.0000
2022-12-02,399.0900,410.0000,393.3000,406.9100,395.1817,426639342,0.0000
2022-11-25,394.6400,402.9300,392.6600,402.3300,390.7337,210479276,0.0000
2022-11-18,396.6600,402.3100,390.1400,396.0300,384.6153,401014777,0.0000
2022-11-11,377.7100,399.3500,373.6100,398.5100,387.0238,466719198,0.0000
2022-11-04,386.4400,390.3900,368.7900,376.3500,365.5025,499634509,0.0000
2022-10-28,375.8900,389.5200,373.1100,389.0200,377.8074,450644317,0.0000
2022-10-21,364.0100,375.4500,357.2808,374.2900,363.5019,489399410,0.0000
2022-10-14,363.9600,370.2600,348.1100,357.6300,347.3221,516508880,0.0000
2022-10-07,361.0800,379.4600,359.2100,362.7900,352.3334,471547964,0.0000
2022-09-30,366.4100,372.3000,357.0400,357.1800,346.8851,578341093,0.0000
2022-09-23,382.2600,389.3100,363.2900,367.9500,357.3447,467112786,0.0000
2022-09-16,408.7800,411.7300,382.1100,385.5600,374.4471,467945749,1.5964
2022-09-09,393.1300,407.5100,388.4200,406.6000,393.2524,303290947,0.0000
2022-09-02,402.2000,405.8400,390.0400,392.2400,379.3638,404343512,0.0000
2022-08-26,417.0500,419.9600,405.2500,405.3100,392.0048,330007921,0.0000
2022-08-19,424.7650,431.7300,421.2200,422.1400,408.2823,293940821,0.0000
2022-08-12,415.2500,427.2100,410.2200,427.1000,413.0795,288807695,0.0000
2022-08-05,409.1500,415.6800,406.8200,413.4700,399.8969,303724947,0.0000
2022-07-29,395.7500,413.0300,389.9500,411.9900,398.4655,349890219,0.0000
2022-07-22,388.3800,400.1800,380.6600,395.0900,382.1203,350654555,0.0000
2022-07-15,385.8500,386.8700,371.0400,385.1300,372.4872,373575974,0.0000
2022-07-08,375.8800,390.6400,372.9000,388.6700,375.9110,288787893,0.0000
2022-07-01,391.0500,393.1600,372.5600,381.2400,368.7249,405723442,0.0000
2022-06-24,371.8900,390.0900,370.1800,390.0800,377.2747,344213753,0.0000
2022-06-17,379.8500,383.9000,362.1700,365.8600,353.8498,645270681,1.5769
2022-06-10,414.7800,416.6090,389.7500,389.8000,375.3860,400314857,0.0000
2022-06-03,413.5500,417.4400,406.9300,410.5400,395.3591,334006707,0.0000
2022-05-27,392.8300,415.3801,386.9600,415.2600,399.9045,426273624,0.0000
2022-05-20,399.9800,408.5700,380.5400,389.6300,375.2223,509269611,0.0000
2022-05-13,405.1000,406.4100,385.1500,401.7200,386.8652,659709433,0.0000
2022-05-06,412.0700,429.6600,405.0200,411.3400,396.1295,724147593,0.0000
2022-04-29,423.6700,429.6400,411.2100,412.0000,396.7651,593265218,0.0000
2022-04-22,436.8100,450.0100,425.4400,426.0400,410.2859,425852611,0.0000
2022-04-14,444.1100,445.7500,436.6501,437.7900,421.6014,346074018,0.0000
2022-04-08,453.1300,457.8300,443.4700,447.5700,431.0198,396609932,0.0000
2022-04-01,452.0600,462.0700,449.1400,452.9200,436.1719,445526972,0.0000
2022-03-25,444.3400,452.9800,440.6800,452.6900,435.9504,381101588,0.0000
2022-03-18,420.8900,444.8600,415.7900,444.5200,428.0825,552245965,1.3660
2022-03-11,431.5500,432.3018,415.1200,420.0700,403.2973,609269001,0.0000
2022-03-04,432.0300,441.1100,427.1100,432.1700,414.9142,620712433,0.0000
2022-02-25,431.8900,437.8400,410.6400,437.7500,420.2714,590470539,0.0000
2022-02-18,439.9200,448.0550,431.8200,434.2300,416.8919,531431354,0.0000
2022-02-11,449.5100,457.8800,438.9400,440.4600,422.8732,551393133,0.0000
2022-02-04,441.2400,458.1200,439.8100,448.7000,430.7842,629246554,0.0000
2022-01-28,432.0300,444.0400,420.7600,441.9500,424.3037,921220809,0.0000
2022-01-21,459.7400,459.9600,437.9500,437.9800,420.4922,537444556,0.0000
2022-01-14,462.7000,473.2000,456.5973,464.7200,446.1645,447364480,0.0000
2022-01-07,476.3000,479.9800,464.6500,466.0900,447.4798,420356344,0.0000
2021-12-31,472.0600,479.0000,472.0100,474.9600,455.9957,277532646,0.0000
2021-12-23,454.4800,472.1900,451.1400,470.6000,451.8098,292271050,0.0000
2021-12-17,470.1900,472.8700,458.0600,459.8700,441.5082,554093195,1.6335
2021-12-10,456.1300,470.9000,453.5600,470.7400,450.3445,405133322,0.0000
2021-12-03,464.0700,466.5600,448.9200,453.4200,433.7749,632283656,0.0000
2021-11-26,470.8900,473.5400,457.7700,458.9700,439.0845,320496941,0.0000
2021-11-19,468.6400,470.9400,466.2300,468.8900,448.5747,251637471,0.0000
2021-11-12,469.7000,470.2300,462.0400,467.2700,447.0249,255933870,0.0000
2021-11-05,460.3000,470.6500,458.2000,468.5300,448.2303,267062003,0.0000
2021-10-29,454.2800,459.5600,452.3900,459.2500,439.3523,295327988,0.0000
2021-10-22,443.9700,454.6700,443.2700,453.1200,433.4879,258932150,0.0000
2021-10-15,437.1600,446.2600,431.5400,445.8700,426.5520,345885462,0.0000
2021-10-08,433.0000,441.6800,426.3600,437.8600,418.8891,479279625,0.0000
2021-10-01,442.8100,444.0500,427.2300,434.2400,415.4259,543882712,0.0000
2021-09-24,434.8800,444.8900,428.8600,443.9100,424.6770,499812607,0.0000
